Current Year,CGPA,1st yr 1st sem GPA,IP,ICS,MC,CS,1st yr 2nd sem GPA,OOC,SPM,PS1,EAP,ISDM,IWT,2nd yr 1st sem GPA,SE,OOP,DBMS,OSSA,2nd yr 2nd sem GPA,MAD,CN,DSA,ITP,PS2,ESD1,3rd yr 1st sem GPA,NDM,DS,PAF,ITPM,ESD2,3rd yr 2nd sem GPA,HCI,IAS,DA,BMIT
4,2.730,3.07,A,B-,B+,C,2.82,A-,B-,C,C+,B,B+,2.72,B+,B+,C+,C,2.91,A-,C,B-,A-,C,A-,2.33,B-,C+,C,C+,C,2.51,B-,C,C+,B+
4,1.880,2.88,C,B+,A,C,2.28,B,C,C,B-,C,C+,1.73,C+,C,C,C,2.08,C,C,C,C,B-,A,2.5,C,C,C+,A-,B,3.15,B-,B-,B+,A+
4,2.380,2.85,A-,B-,B,C-,1.49,B-,C+,E,E,C,C+,2.42,B-,C+,C,B-,2.98,A-,C,B-,A-,C,A,2.52,R,B-,B-,B,A,3.45,A-,B+,B,A
4,2.530,2.61,A,C,C+,C,2.46,B,C,C,B+,C,B-,2.5,B+,B-,C,C,2.9,B,C+,B+,B+,C+,B-,1.53,C-,R,D,R,A,3.21,B+,B,B,A-
4,2.030,2.08,C+,C,C,C,1.73,C+,C+,E,B-,C,C+,2,C+,C,C,C,2.29,C,C,C,B+,C,A-,1.43,D+,IC,F,B,A-,2.21,R,R,C+,B+
4,2.090,1.81,C,C,C,C,2.19,C+,C,C+,E,B,C+,1.58,C+,C,C,C,2.13,B+,C,D+,C+,C,B+,2.15,C+,C+,D,B,C,2.36,B,R,C+,B-
4,2.260,1.92,C,C,C,C,2.08,C,C,C,D,C,C+,2.42,B-,B-,C,C+,1.99,D+,C,C+,C,B-,A,2.83,B+,C,B,B,B+,2.71,B,B,C,B
4,2.400,2.25,B-,C,C,C+,2.38,B+,C+,C,C+,C,B-,2.05,B+,C,C,C+,1.97,C+,C,C,C+,C,C+,2.9,IC,C,B,A-,B+,2.48,A-,R,B-,C
4,2.280,2.08,C,C,C+,C,2.11,C+,B,C,C+,C,C+,2.5,B-,C+,C,B,2.54,B,C,C+,A-,C+,A,1.58,C+,D+,F,B-,C,2.51,A-,C+,C,C+
4,2.410,2.14,PC,C,B-,B-,2.81,B+,C+,C,B+,B+,B-,2.25,B,C,C,C,2.63,C,C,B,A-,C+,C+,1.67,C+,C-,F,B-,C-,2.87,B-,B+,B,C+
4,1.840,1.26,C,C-,D+,C+,2.13,C,C,C,C,C+,C+,2.42,B,B-,C,C,2.07,C,E,C,B+,C,C,1.92,C,C-,C-,C+,C,1.29,B,D,F,C-
4,2.070,1.81,C,C+,C,C,2.02,C,C+,PC,C,C+,C+,0.65,C,C,C,C,1.92,B,C,E,C+,B-,A,1.98,C,D+,D+,B+,A,1.84,B+,R,F,B
4,1.690,1.01,D,D,E,C,1.76,B-,C+,D,C,C,B-,1.33,C,C,C,D+,1.26,C,E,E,C+,B-,B,2.33,B-,IC,D+,B,B-,1.93,A-,R,F,C-
4,2.150,2.06,C,C,C,B-,2.33,C,B,C,B-,C,C+,2.25,B-,C,C,C+,2.07,B,D+,C,C+,C,C,2,R,D+,R,B+,A,2.11,B,R,R,C+
4,1.810,1.75,C,C,C,C,1.73,C,C,E,D,C,C,1.15,C,C,C,C,2.77,B,C,D+,A-,C,B,1.35,R,C,F,R,C,1.89,B,C+,D+,D
4,2.410,1.2,D+,C,C,C,2.21,C,C,C,C,B-,C+,2.3,B+,C+,C+,C,2.54,B,C,C,B+,C+,A,2.58,C+,C,B-,B+,D,2.75,B,C+,C+,A-
4,2.150,1.92,C,C,C,C,2.08,C,C,C,D,C,C+,2.42,B-,B-,C,C+,1.99,D+,C,C+,C,B-,A,2.83,B+,C,B,B,B+,2.71,B,B,C,B
4,1.870,1.94,C,C,C,C,1.56,C,C,E,C,C,C,1.58,C,C,C,D+,1.84,B,D,D+,B+,C,C,2,R,D+,C-,B+,C+,2.03,B-,D+,D+,B+
4,2.070,1.98,D,C,C,C+,1.51,C,C,E,C,C,C,1.75,B,E,C,C,2.18,C,D,C,B,B,A,2,C,C-,IC,C+,B-,2.99,B+,B,C+,A
4,2.280,1.81,C,C,D+,C,2.17,B-,C+,PC,C,C+,B-,2.17,B-,C,C,C,1.74,C,C,C,B-,C+,A,1.92,C+,C,C-,R,C,2,B-,R,C,F
4,2.280,2.03,PC,C+,C+,C+,2.09,C+,B-,PC,C,C,C,2.08,C+,C,C,C,2.16,C,C,C,A-,C,C,2.58,B,C,C+,B,B,2.58,B,C+,C,B+
4,2.330,2.2,C,C,C,B,0,B-,C,E,C+,B-,C,2.08,C+,C,C,B-,2.56,B,C,D+,A-,B,A,2.43,C+,D+,IC,A-,A-,2.69,B+,B-,C,B
4,2.630,2.51,C+,C+,B+,C,2.64,B-,C+,B,C,B,B-,2.47,B+,C,C+,C+,2.77,B-,B-,B-,B,B-,B-,2.6,B-,C,C,A-,A,2.78,B+,B,C,B
4,2.510,2.17,PC,C,B-,C+,2.5,C,C,C,B+,B-,B-,1.5,C+,C,C,C,2.33,C,C,C,A,B,A-,2.67,B-,IC,C,B+,A,3.21,B+,A-,C+,A-
4,2.500,2.75,C,B,B+,B-,2.47,B+,B-,B,C,C,C+,2.42,B,B-,C,C,2.44,B-,C,C,B+,C,B+,2.4,C,C,C+,B+,C,2.51,B,C+,C,B
4,2.600,2.72,B,A-,C,C,2.71,B,B,B-,C,B+,C+,2.25,C+,C,C,B-,2.32,C,B,C,C+,C+,A,2.83,B+,C,B-,B+,B-,2.81,A-,C,C+,A-
4,1.940,1.92,D,C,B-,C,2.18,B-,B-,C,C,C,C,1.75,C,D+,C,C,1.71,C-,D,C,B,C,A,1.85,R,C-,D+,B-,B-,2.21,B-,R,C,B-
